totalshoppertraffic_visitors,totalshoppertraffic_visits,digital_orders,aal_orders,eup_orders,nao_orders,nse_orders,nso_orders,nsp_orders,npp_orders,total_orders,cust_prospect_ind,visit_device_type,event_dt
7143,7693,149,22,106,13,4,4,0,0,180,CUSTOMER,Tablet,3/7/19
784,793,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,3/7/19
162285,177228,3087,658,1999,334,59,23,8,6,4230,CUSTOMER,All Devices,3/7/19
102523,111217,2480,528,1640,258,31,14,5,4,3073,CUSTOMER,Desktop,3/7/19
11771,13691,78,2,0,7,59,6,3,1,156,PROSPECT,Mobile Phone,3/7/19
227320,250100,1049,163,399,123,258,73,15,18,2072,All Visitors,Mobile Phone,3/7/19
6,7,0,0,0,0,0,0,0,0,0,CUSTOMER,Gaming Console,3/7/19
271604,293853,4171,752,2375,394,341,87,33,189,5221,All Visitors,Desktop,3/7/19
1471,1658,4,0,0,0,4,0,0,0,6,PROSPECT,Tablet,3/7/19
25405,27283,259,37,165,24,18,9,4,2,319,All Visitors,Tablet,3/7/19
26578,30490,163,2,0,13,121,14,7,6,275,PROSPECT,All Devices,3/7/19
525185,572165,5479,952,2939,541,617,169,52,209,7554,All Visitors,All Devices,3/7/19
15102,16871,303,30,230,37,5,0,1,0,358,CUSTOMER,Tablet,3/29/19
2255,2350,0,0,0,0,0,0,0,0,1,UNDETERMINED,Gaming Console,3/29/19
264358,297613,4831,1114,3008,564,98,26,9,12,5775,CUSTOMER,All Devices,3/29/19
140633,154384,3591,866,2270,381,51,10,5,8,4177,CUSTOMER,Desktop,3/29/19
21094,26251,103,3,0,6,75,11,2,6,159,PROSPECT,Mobile Phone,3/29/19
394263,440606,1500,225,508,203,363,114,41,46,2248,All Visitors,Mobile Phone,3/29/19
12,15,0,0,0,0,0,0,0,0,0,CUSTOMER,Gaming Console,3/29/19
267532,290566,4187,871,2275,471,364,84,49,73,4943,All Visitors,Desktop,3/29/19
2675,3163,7,0,0,0,5,2,0,0,9,PROSPECT,Tablet,3/29/19
41521,45406,373,32,230,49,27,9,15,11,451,All Visitors,Tablet,3/29/19
37694,45759,179,3,0,11,126,26,5,8,256,PROSPECT,All Devices,3/29/19
706084,779600,6060,1128,3013,723,754,207,105,130,7555,All Visitors,All Devices,3/29/19
13312,15688,69,0,0,5,46,13,3,2,89,PROSPECT,Desktop,3/29/19
619,657,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,3/29/19
264810,288012,460,4,0,51,246,87,36,36,838,UNDETERMINED,Mobile Phone,3/29/19
2886,3022,0,0,0,0,0,0,0,0,1,All Visitors,Gaming Console,3/29/19
113833,120494,527,5,5,85,267,61,41,63,690,UNDETERMINED,Desktop,3/29/19
108682,126343,937,218,508,146,42,16,3,4,1266,CUSTOMER,Mobile Phone,3/29/19
23803,25372,63,2,0,12,17,7,14,11,85,UNDETERMINED,Tablet,3/29/19
404662,436228,1050,11,5,148,530,155,91,110,1582,UNDETERMINED,All Devices,3/29/19
435,450,4,0,0,0,2,1,0,1,4,PROSPECT,Tablet,2/22/19
43525,47955,648,57,303,223,40,12,2,11,736,All Visitors,Tablet,2/22/19
6717,7063,54,0,0,5,42,2,1,4,65,PROSPECT,All Devices,2/22/19
788164,881547,13084,1065,4342,6302,894,190,70,221,14702,All Visitors,All Devices,2/22/19
3013,3156,26,0,0,2,23,0,0,1,31,PROSPECT,Desktop,2/22/19
2,2,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,2/22/19
350355,396328,3463,222,643,2114,345,88,24,27,4128,UNDETERMINED,Mobile Phone,2/22/19
374,395,0,0,0,0,0,0,0,0,0,All Visitors,Gaming Console,2/22/19
362604,397847,8435,721,3066,3886,456,85,41,180,9286,UNDETERMINED,Desktop,2/22/19
13225,13869,118,23,72,19,3,1,0,0,155,CUSTOMER,Mobile Phone,2/22/19
41597,45621,609,51,286,212,37,11,2,10,693,UNDETERMINED,Tablet,2/22/19
754800,840189,12507,994,3995,6212,838,184,67,217,14054,UNDETERMINED,All Devices,2/22/19
1827,1884,35,6,17,11,1,0,0,0,40,CUSTOMER,Tablet,2/22/19
373,393,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,2/22/19
33127,34295,523,71,347,85,14,4,2,0,615,CUSTOMER,All Devices,2/22/19
18078,18542,370,42,258,55,10,3,2,0,420,CUSTOMER,Desktop,2/22/19
3267,3455,24,0,0,3,17,1,1,2,30,PROSPECT,Mobile Phone,2/22/19
363480,413652,3605,245,715,2136,365,90,25,29,4304,All Visitors,Mobile Phone,2/22/19
380936,419545,8831,763,3324,3943,489,88,43,181,9720,All Visitors,Desktop,2/22/19
280586,307758,4180,454,2608,506,319,92,33,168,4895,All Visitors,Desktop,2/24/19
1,1,0,0,0,0,0,0,0,0,0,All Visitors,E-Reader,2/24/19
3368,3993,6,1,0,1,4,0,0,0,8,PROSPECT,Tablet,2/24/19
46449,51348,476,58,314,52,38,6,2,6,560,All Visitors,Tablet,2/24/19
36653,44371,128,1,1,18,81,15,4,8,174,PROSPECT,All Devices,2/24/19
679961,758671,6259,717,3619,813,667,180,60,203,7503,All Visitors,All Devices,2/24/19
14612,16993,51,0,1,6,30,7,4,3,77,PROSPECT,Desktop,2/24/19
16,19,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,2/24/19
243693,269076,435,7,5,112,221,58,18,14,633,UNDETERMINED,Mobile Phone,2/24/19
390,407,1,0,0,0,1,0,0,0,1,All Visitors,Gaming Console,2/24/19
152059,163347,687,14,7,171,250,63,21,161,873,UNDETERMINED,Desktop,2/24/19
1,1,0,0,0,0,0,0,0,0,0,UNDETERMINED,E-Reader,2/24/19
90549,106715,1096,198,692,132,41,16,7,10,1362,CUSTOMER,Mobile Phone,2/24/19
27062,29125,58,1,0,16,31,3,2,5,86,UNDETERMINED,Tablet,2/24/19
423118,461924,1181,22,12,299,503,124,41,180,1589,UNDETERMINED,All Devices,2/24/19
16051,18230,412,56,314,35,3,3,0,1,466,CUSTOMER,Tablet,2/24/19
361,375,1,0,0,0,1,0,0,0,1,UNDETERMINED,Gaming Console,2/24/19
220731,252376,4950,694,3606,496,83,41,15,15,5768,CUSTOMER,All Devices,2/24/19
114164,127418,3442,440,2600,329,39,22,8,4,3951,CUSTOMER,Desktop,2/24/19
18666,23366,71,0,0,11,47,8,0,5,90,PROSPECT,Mobile Phone,2/24/19
352651,399157,1602,205,697,255,309,82,25,29,2080,All Visitors,Mobile Phone,2/24/19
13,13,0,0,0,0,0,0,0,0,0,CUSTOMER,Gaming Console,2/24/19
45918,50718,444,49,227,96,32,10,15,15,517,All Visitors,Tablet,2/20/19
55877,68486,223,1,1,53,121,31,10,6,285,PROSPECT,All Devices,2/20/19
796812,894452,8041,1053,3785,1952,718,173,92,268,9289,All Visitors,All Devices,2/20/19
26020,30979,118,1,1,35,54,16,6,5,145,PROSPECT,Desktop,2/20/19
24,38,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,2/20/19
218535,239582,605,3,3,348,157,48,19,27,810,UNDETERMINED,Mobile Phone,2/20/19
162,195,2,0,2,0,0,0,0,0,2,All Visitors,Gaming Console,2/20/19
196671,210424,1235,6,5,607,330,51,34,202,1417,UNDETERMINED,Desktop,2/20/19
107535,129154,1250,210,757,222,35,11,5,10,1503,CUSTOMER,Mobile Phone,2/20/19
25169,26917,101,1,0,47,20,6,13,14,120,UNDETERMINED,Tablet,2/20/19
440457,477064,1941,10,8,1002,507,105,66,243,2338,UNDETERMINED,All Devices,2/20/19
16598,18843,333,48,227,46,8,3,0,1,385,CUSTOMER,Tablet,2/20/19
124,141,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,2/20/19
