Visitor,Order,Customer,Device,Date,Rate,Source
158064,4095,Customer,Desktop,2/25/2019,0.025907227452171274,Customer Desktop
15417,46,Prospect,Mobile Phone,2/25/2019,0.0029837192709346824,Prospect Mobile Phone
2415,4,Prospect,Tablet,2/25/2019,0.0016563146997929607,Prospect Tablet
18804,68,Prospect,Desktop,2/25/2019,0.0036162518613061046,Prospect Desktop
212441,355,Undetermined,Mobile Phone,2/25/2019,0.001671052198022039,Undetermined Mobile Phone
182449,837,Undetermined,Desktop,2/25/2019,0.004587583379464946,Undetermined Desktop
48238,485,Customer,Mobile Phone,2/4/2019,0.010054314026286329,Customer Mobile Phone
29149,179,Undetermined,Tablet,2/4/2019,0.006140862465264674,Undetermined Tablet
7674,175,Customer,Tablet,2/4/2019,0.022804274172530625,Customer Tablet
110329,2413,Customer,Desktop,2/4/2019,0.021870949614335302,Customer Desktop
11000,60,Prospect,Mobile Phone,2/4/2019,0.005454545454545455,Prospect Mobile Phone
1718,6,Prospect,Tablet,2/4/2019,0.003492433061699651,Prospect Tablet
14170,70,Prospect,Desktop,2/4/2019,0.00494001411432604,Prospect Desktop
213592,623,Undetermined,Mobile Phone,2/4/2019,0.0029167759092100826,Undetermined Mobile Phone
211332,1621,Undetermined,Desktop,2/4/2019,0.007670395396816381,Undetermined Desktop
14675,342,Customer,Tablet,2/17/2019,0.02330494037478705,Customer Tablet
104522,2616,Customer,Desktop,2/17/2019,0.0250282237232353,Customer Desktop
19692,76,Prospect,Mobile Phone,2/17/2019,0.0038594353036766203,Prospect Mobile Phone
3693,7,Prospect,Tablet,2/17/2019,0.0018954779312212293,Prospect Tablet
16230,74,Prospect,Desktop,2/17/2019,0.004559457794208257,Prospect Desktop
199485,247,Undetermined,Mobile Phone,2/17/2019,0.0012381883349625285,Undetermined Mobile Phone
140452,545,Undetermined,Desktop,2/17/2019,0.0038803292227949757,Undetermined Desktop
80231,763,Customer,Mobile Phone,2/17/2019,0.009510039760192443,Customer Mobile Phone
24943,52,Undetermined,Tablet,2/17/2019,0.0020847532373812288,Undetermined Tablet
3474,11,Prospect,Tablet,3/17/2019,0.0031663788140472078,Prospect Tablet
14915,72,Prospect,Desktop,3/17/2019,0.004827355011733154,Prospect Desktop
177973,282,Undetermined,Mobile Phone,3/17/2019,0.0015845100099453288,Undetermined Mobile Phone
136378,507,Undetermined,Desktop,3/17/2019,0.0037176084119139455,Undetermined Desktop
73535,889,Customer,Mobile Phone,3/17/2019,0.012089481199428844,Customer Mobile Phone
20290,52,Undetermined,Tablet,3/17/2019,0.002562838836865451,Undetermined Tablet
13710,356,Customer,Tablet,3/17/2019,0.025966447848285924,Customer Tablet
108924,3213,Customer,Desktop,3/17/2019,0.029497631376005286,Customer Desktop
20998,76,Prospect,Mobile Phone,3/17/2019,0.003619392323078389,Prospect Mobile Phone
19629,103,Prospect,Desktop,2/16/2019,0.005247338122166182,Prospect Desktop
196988,257,Undetermined,Mobile Phone,2/16/2019,0.001304647998862875,Undetermined Mobile Phone
143518,612,Undetermined,Desktop,2/16/2019,0.0042642734709235075,Undetermined Desktop
88728,947,Customer,Mobile Phone,2/16/2019,0.010673068253538906,Customer Mobile Phone
23217,49,Undetermined,Tablet,2/16/2019,0.00211052246198906,Undetermined Tablet
15588,374,Customer,Tablet,2/16/2019,0.023992814985886582,Customer Tablet
116293,2727,Customer,Desktop,2/16/2019,0.023449390762986598,Customer Desktop
23749,64,Prospect,Mobile Phone,2/16/2019,0.0026948503094867157,Prospect Mobile Phone
4192,10,Prospect,Tablet,2/16/2019,0.002385496183206107,Prospect Tablet
3956,10,Prospect,Tablet,2/1/2019,0.0025278058645096056,Prospect Tablet
21987,98,Prospect,Desktop,2/1/2019,0.004457179242279528,Prospect Desktop
171096,346,Undetermined,Mobile Phone,2/1/2019,0.002022256510964605,Undetermined Mobile Phone
158023,586,Undetermined,Desktop,2/1/2019,0.003708320940622568,Undetermined Desktop
79575,833,Customer,Mobile Phone,2/1/2019,0.010468111844172165,Customer Mobile Phone
21371,40,Undetermined,Tablet,2/1/2019,0.0018716952880071126,Undetermined Tablet
14111,321,Customer,Tablet,2/1/2019,0.02274821061583162,Customer Tablet
154086,3389,Customer,Desktop,2/1/2019,0.02199421102501201,Customer Desktop
20600,109,Prospect,Mobile Phone,2/1/2019,0.0052912621359223295,Prospect Mobile Phone
15636,372,Customer,Tablet,2/2/2019,0.02379125095932464,Customer Tablet
113781,2946,Customer,Desktop,2/2/2019,0.02589184485986237,Customer Desktop
20558,88,Prospect,Mobile Phone,2/2/2019,0.00428057204008172,Prospect Mobile Phone
3923,8,Prospect,Tablet,2/2/2019,0.002039255671679837,Prospect Tablet
17583,75,Prospect,Desktop,2/2/2019,0.004265483705852243,Prospect Desktop
