,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
751,113672,472,UNDETERMINED,Desktop,2019-03-22,0.00415229783939756,1.0,0,0,1.0,0,0,1.0,0,0
752,83569,282,UNDETERMINED,Desktop,2019-03-23,0.0033744570355036,1.0,0,0,1.0,0,0,1.0,0,0
753,79655,316,UNDETERMINED,Desktop,2019-03-24,0.00396710815391375,1.0,0,0,1.0,0,0,1.0,0,0
754,116726,613,UNDETERMINED,Desktop,2019-03-25,0.005251614892997279,1.0,0,0,1.0,0,0,1.0,0,0
755,121250,716,UNDETERMINED,Desktop,2019-03-26,0.00590515463917526,0.0,0,0,1.0,0,0,1.0,0,0
756,263239,4361,UNDETERMINED,Desktop,2019-03-27,0.0165666941448646,1.0,1,1,1.0,1,1,1.0,1,1
757,225137,3203,UNDETERMINED,Desktop,2019-03-28,0.0142268929585097,1.0,1,1,1.0,1,1,1.0,1,1
758,113833,527,UNDETERMINED,Desktop,2019-03-29,0.00462958895926489,1.0,0,0,1.0,0,0,0.0,0,0
759,84151,378,UNDETERMINED,Desktop,2019-03-30,0.00449192522964671,1.0,0,0,0.0,0,0,1.0,0,0
760,85958,407,UNDETERMINED,Desktop,2019-03-31,0.00473487051816003,0.0,0,0,1.0,0,0,0.0,0,0
