,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
689,19697,110,PROSPECT,Desktop,2019-03-19,0.005584606792912629,0.0,0,0,0.0,0,0,0.0,0,0
690,15881,96,PROSPECT,Desktop,2019-03-20,0.0060449593854291295,0.0,0,0,0.0,0,0,0.0,0,0
691,10019,49,PROSPECT,Desktop,2019-03-21,0.0048907076554546396,0.0,1,0,1.0,1,0,0.0,0,0
692,16244,98,PROSPECT,Desktop,2019-03-22,0.00603299679881803,0.0,0,0,0.0,0,0,0.0,0,0
693,12046,62,PROSPECT,Desktop,2019-03-23,0.0051469367424871295,0.0,0,0,0.0,0,0,0.0,0,0
694,11502,64,PROSPECT,Desktop,2019-03-24,0.00556424969570509,0.0,0,0,0.0,0,0,0.0,0,0
695,17570,129,PROSPECT,Desktop,2019-03-25,0.0073420603301081406,0.0,1,0,0.0,1,0,0.0,0,0
696,16977,122,PROSPECT,Desktop,2019-03-26,0.007186193084761741,0.0,0,0,0.0,0,0,0.0,0,0
697,584,0,PROSPECT,Desktop,2019-03-27,0.0,1.0,1,1,1.0,1,0,1.0,1,1
698,5172,25,PROSPECT,Desktop,2019-03-28,0.00483372003093581,0.0,1,0,0.0,1,0,0.0,0,0
699,13312,69,PROSPECT,Desktop,2019-03-29,0.00518329326923077,0.0,0,0,0.0,0,0,0.0,0,0
700,10996,86,PROSPECT,Desktop,2019-03-30,0.00782102582757366,0.0,0,0,0.0,0,0,0.0,0,0
701,10148,70,PROSPECT,Desktop,2019-03-31,0.006897910918407571,0.0,0,0,0.0,0,0,0.0,0,0
