,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
632,141595,3892,CUSTOMER,Desktop,2019-03-20,0.0274868462869452,0.0,0,0,0.0,0,0,0.0,0,0
633,83629,1897,CUSTOMER,Desktop,2019-03-21,0.0226835188750314,0.0,1,0,1.0,1,0,0.0,0,0
634,141618,3812,CUSTOMER,Desktop,2019-03-22,0.0269174822409581,1.0,0,0,0.0,0,0,0.0,0,0
635,94438,3081,CUSTOMER,Desktop,2019-03-23,0.0326245790889261,1.0,0,0,0.0,0,0,0.0,0,0
636,86970,2756,CUSTOMER,Desktop,2019-03-24,0.0316890881913303,0.0,0,0,0.0,0,0,0.0,0,0
637,140771,4077,CUSTOMER,Desktop,2019-03-25,0.0289619310795547,1.0,1,0,0.0,1,0,0.0,0,0
638,134847,3666,CUSTOMER,Desktop,2019-03-26,0.0271863667712296,0.0,0,0,0.0,0,0,0.0,0,0
639,2103,31,CUSTOMER,Desktop,2019-03-27,0.0147408464098906,1.0,1,0,1.0,1,1,1.0,1,1
640,44397,964,CUSTOMER,Desktop,2019-03-28,0.0217131788183886,0.0,1,0,0.0,1,0,0.0,0,0
641,140633,3591,CUSTOMER,Desktop,2019-03-29,0.025534547367972,1.0,0,0,0.0,0,0,0.0,0,0
642,92489,2879,CUSTOMER,Desktop,2019-03-30,0.0311280260355285,1.0,0,0,0.0,0,0,0.0,0,0
643,96786,2983,CUSTOMER,Desktop,2019-03-31,0.0308205732234001,1.0,0,0,0.0,0,0,0.0,0,0
