,visitors,orders,customer,device,date,rate,visitors_arima_anomaly,visitors_stl_anomaly,visitors_twitter_anomaly,orders_arima_anomaly,orders_stl_anomaly,orders_twitter_anomaly,rate_arima_anomaly,rate_stl_anomaly,rate_twitter_anomaly
808,7882,142,CUSTOMER,Tablet,2019-03-21,0.0180157320477036,1.0,1,1,1.0,1,0,0.0,0,0
809,17231,314,CUSTOMER,Tablet,2019-03-22,0.0182229702280773,1.0,0,0,0.0,0,0,0.0,0,0
810,16224,416,CUSTOMER,Tablet,2019-03-23,0.0256410256410256,0.0,0,0,1.0,0,0,0.0,0,0
811,15487,414,CUSTOMER,Tablet,2019-03-24,0.0267320978885517,0.0,0,0,0.0,0,0,0.0,0,0
812,14217,327,CUSTOMER,Tablet,2019-03-25,0.0230006330449462,1.0,0,0,0.0,0,0,0.0,0,0
813,13932,296,CUSTOMER,Tablet,2019-03-26,0.0212460522538042,1.0,0,0,0.0,0,0,0.0,0,0
814,413,2,CUSTOMER,Tablet,2019-03-27,0.0048426150121065395,1.0,1,1,1.0,1,1,1.0,1,1
815,4031,48,CUSTOMER,Tablet,2019-03-28,0.0119077152071446,1.0,1,1,1.0,1,1,0.0,1,0
816,15102,303,CUSTOMER,Tablet,2019-03-29,0.0200635677393723,1.0,0,0,0.0,0,0,1.0,0,0
817,16125,464,CUSTOMER,Tablet,2019-03-30,0.0287751937984496,1.0,0,0,1.0,0,0,1.0,0,0
818,16201,409,CUSTOMER,Tablet,2019-03-31,0.0252453552249861,0.0,0,0,0.0,0,0,0.0,0,0
